platform,backend,variant,device,mode,dataset,n_images,mean_latency_ms,std_latency_ms,fps,mean_f1,mean_iou,avg_predictions,load_time_s
Arc_B60,openvino,fp16,CPU,canvas,Candies,11,8809.478332711891,213.20801044884823,0.11351409949971035,0.9913131313131313,0.9402188415452831,20.272727272727273,2.434488842030987
Arc_B60,openvino,fp16,CPU,canvas,Potatoes,9,8709.219714316228,286.77818799314167,0.11482084880189651,1.0,0.982612750679362,8.0,2.3579266279703006
Arc_B60,openvino,fp16,CPU,text,Candies,12,8635.967122109529,188.61754871866106,0.11579479007508398,0.9920370370370369,0.9445970125372626,20.5,2.3868896580534056
Arc_B60,openvino,fp16,CPU,text,Potatoes,10,8831.568812311161,309.5932750645425,0.11323016569898715,1.0,0.9849321333169356,8.0,4.279166121967137
Arc_B60,openvino,fp16,GPU,canvas,Candies,11,744.6074204582891,45.087507623990454,1.3429895707788173,0.9913131313131313,0.8751196827056941,20.272727272727273,4.258902356959879
Arc_B60,openvino,fp16,GPU,canvas,LED,14,521.5057074175483,13.708816564418518,1.9175245558709504,0.7196930054072911,0.7406448311376773,7.071428571428571,4.2911423539044335
Arc_B60,openvino,fp16,GPU,canvas,LVIS-banana_book,54,431.47920225790045,18.753376245629326,2.3176088088766966,0.08986291486291485,0.09322710344536092,0.6296296296296297,4.866742555983365
Arc_B60,openvino,fp16,GPU,canvas,Nuts,20,444.4528353982605,17.716819613037945,2.2499575215982834,0.8736111111111111,0.8796423911915024,3.05,4.285037649096921
Arc_B60,openvino,fp16,GPU,canvas,Potatoes,9,626.2836361096965,128.9368352151312,1.5967206267941596,1.0,0.9551273755706549,8.0,6.509488767944276
Arc_B60,openvino,fp16,GPU,text,Candies,12,442.75621823908295,12.662098149748577,2.258579233459827,0.9920370370370369,0.8648224010238682,20.5,4.214272290992085
Arc_B60,openvino,fp16,GPU,text,LED,15,396.75188692441833,15.038674972402081,2.520466903766739,0.0,0.0,0.0,5.113644480006769
Arc_B60,openvino,fp16,GPU,text,LVIS-banana_book,55,632.5181665724482,5.651709973975088,1.58098225924308,0.5976525992461699,0.6951675173744433,8.018181818181818,4.799118146998808
Arc_B60,openvino,fp16,GPU,text,Nuts,21,481.12352938291485,9.050062634260112,2.0784682912569084,0.6979402872260014,0.9177393711809853,6.476190476190476,4.240613090980332
Arc_B60,openvino,fp16,GPU,text,Potatoes,10,464.04730961075984,21.105288133912477,2.1549526940233616,1.0,0.9448940408924086,8.0,24.231858679035213
Arc_B60,openvino,fp16,GPU,visual_exemplar,Candies,11,438.4184294507246,13.029485744675744,2.280926012286611,0.9913131313131313,0.8899711182180343,20.272727272727273,4.4874427919858135
Arc_B60,openvino,fp16,GPU,visual_exemplar,LED,14,395.7537257187401,4.0185922985271665,2.52682396908297,0.8869047619047619,0.7013168596489685,4.071428571428571,4.452028703992255
Arc_B60,openvino,fp16,GPU,visual_exemplar,Nuts,20,386.2127180938842,8.271168797513837,2.589246684923801,0.9761904761904763,0.936422869913466,3.55,4.5505941529991105
Arc_B60,openvino,fp16,GPU,visual_exemplar,Potatoes,9,459.54423133904737,21.60599058379039,2.1760690958651367,1.0,0.9582624329459354,8.0,4.426158173009753
Arc_B60,openvino,fp32,CPU,text,Candies,12,8406.655587430578,189.3648551927644,0.118953368506636,0.9920370370370369,0.9445986587084095,20.5,2.7300669780233875
Arc_B60,openvino,fp32,CPU,text,Potatoes,10,8525.448649784084,118.891972053737,0.11729587979224132,1.0,0.9849333588069467,8.0,5.048286183970049
Arc_B60,openvino,fp32,GPU,canvas,Candies,11,740.8086198106917,46.52505253794871,1.3498763017303212,0.9913131313131313,0.8751440717398938,20.272727272727273,5.024058102979325
Arc_B60,openvino,fp32,GPU,canvas,LED,14,514.6859552644726,13.147147898129552,1.9429323644282224,0.7093033950176808,0.7344325308742603,7.0,5.009897532989271
Arc_B60,openvino,fp32,GPU,canvas,Nuts,20,439.1540997894481,16.967032083591462,2.2771050081951842,0.8736111111111111,0.8795961062551585,3.05,4.885115579003468
Arc_B60,openvino,fp32,GPU,canvas,Potatoes,9,624.811716325995,129.3630733668385,1.6004821514554488,1.0,0.9551251734103041,8.0,7.108311159070581
Arc_B60,openvino,fp32,GPU,text,Candies,12,441.8364311568439,11.05476395874673,2.2632810005769266,0.9920370370370369,0.8648661273904161,20.5,4.921887769014575
Arc_B60,openvino,fp32,GPU,text,LED,15,397.1494660751584,14.548828126170367,2.517943709914885,0.0,0.0,0.0,4.957007562974468
Arc_B60,openvino,fp32,GPU,text,Nuts,21,483.7075226602056,9.20537682196677,2.067364994657069,0.6979402872260014,0.9177436857861624,6.476190476190476,4.91092822997598
Arc_B60,openvino,fp32,GPU,text,Potatoes,10,462.5159358023666,21.216523702920966,2.162087665725967,1.0,0.9448875293493453,8.0,58.672751053003594
Arc_B60,openvino,fp32,GPU,visual_exemplar,Candies,11,438.7276679203338,13.0508283027787,2.279318294969226,0.9913131313131313,0.8899032421985317,20.272727272727273,5.229245536029339
Arc_B60,openvino,fp32,GPU,visual_exemplar,LED,14,397.5981582147402,3.846918305977551,2.51510219385852,0.8869047619047619,0.7013073000037381,4.071428571428571,5.112942964944523
Arc_B60,openvino,fp32,GPU,visual_exemplar,Nuts,20,385.889014202985,8.66792545680802,2.5914186804861488,0.9761904761904763,0.9364056325442384,3.55,5.119371738983318
Arc_B60,openvino,fp32,GPU,visual_exemplar,Potatoes,9,461.70330400087147,22.675793735232045,2.1658930991711345,1.0,0.9582636563736475,8.0,5.255392155959271
Arc_B60,openvino,int4_asym,CPU,text,Candies,12,5484.7598998458125,95.88888150717715,0.18232338666786707,0.9392018578614723,0.9411936647140212,23.083333333333332,3.304301437921822
Arc_B60,openvino,int4_asym,CPU,text,Potatoes,10,5598.595494031906,180.35107406848607,0.1786162263492689,1.0,0.9842357945581488,8.0,4.056174602010287
Arc_B60,openvino,int4_sym,CPU,text,Candies,12,5435.616065665575,69.90961760077275,0.183971786807491,0.7920838921133232,0.9456284444375923,27.583333333333332,2.912382775975857
